Region,Year,adolescent_fertility,"Fertility rate, total (births per woman)",gdp_per_capita,school_enrollment_primary,school_enrollment_secondary,school_enrollment_tertiary
Africa Eastern and Southern,2002,121.936911479602,5.43047454382283,633.520200697013,84.6974563598633,29.3207302093506,4.47115993499756
Africa Eastern and Southern,2003,119.557516351678,5.38084645934598,819.986705041887,88.6406173706055,29.9111099243164,4.77924013137817
Africa Eastern and Southern,2004,118.823211926383,5.34315909957376,994.193854428418,91.0496597290039,31.3254203796387,5.06202983856201
Africa Eastern and Southern,2005,117.584240435768,5.30711992054212,1130.16893800135,94.6678466796875,32.3135108947754,5.30094003677368
Africa Eastern and Southern,2006,116.401306961845,5.26769087149091,1235.84712467542,97.3383865356445,33.8777389526367,5.57385015487671
Africa Eastern and Southern,2007,115.060877421007,5.2245752801543,1379.74675649107,100.662322998047,35.3552894592285,5.73407983779907
Africa Eastern and Southern,2008,114.933408732692,5.19259197591937,1439.24092429085,104.486701965332,36.879711151123,6.14678001403809
Africa Eastern and Southern,2009,112.602370949035,5.11515623238387,1404.53594803156,104.146858215332,38.0843315124512,6.7424898147583
Africa Eastern and Southern,2010,111.758713212606,5.04079676128023,1622.68409299336,103.481666564941,39.0978584289551,7.33560991287231
Africa Eastern and Southern,2011,111.558594569883,4.96261090208225,1757.99840406352,103.462699890137,39.8236808776855,7.72187995910645
Africa Eastern and Southern,2012,109.532169608089,4.87901791576055,1724.20405261091,103.671943664551,40.910758972168,8.03396987915039
Africa Eastern and Southern,2013,108.092795855758,4.80881970069337,1696.35603961321,102.879890441895,41.6186714172363,8.26618003845215
Africa Eastern and Southern,2014,107.697714993556,4.73986120047803,1678.55360976878,103.185752868652,42.7556381225586,8.40075969696045
Africa Eastern and Southern,2015,105.50183295561,4.67761773629276,1498.80508358802,101.761177062988,42.7673301696777,8.56680965423584
Africa Eastern and Southern,2016,103.222825498629,4.61566985634981,1346.30128120779,102.054809570312,42.8790588378906,8.72994041442871
Africa Eastern and Southern,2017,100.96352629023,4.5704088889247,1485.7535786147,102.612312316895,43.140209197998,8.89616012573242
Africa Eastern and Southern,2018,99.4917026482317,4.52770519140796,1558.61207925907,103.604759216309,43.192928314209,8.95779037475586
Africa Eastern and Southern,2019,99.0855722587841,4.48289806728591,1508.48688648948,104.275543212891,43.3796195983887,8.89772033691406
Africa Eastern and Southern,2020,97.4135847695511,4.41690032191029,1356.08887141531,104.969482421875,43.6888198852539,8.94729042053223
Africa Eastern and Southern,2021,96.1814423061057,4.35470911162756,1545.95669660381,103.434097290039,43.8453788757324,8.89552021026611
Africa Eastern and Southern,2022,94.6881808086008,4.28878750739892,1642.43203899493,103.090423583984,43.7047004699707,8.92140531539917
Africa Eastern and Southern,2023,94.6881808086008,4.28878750739892,1672.5059574692,103.090423583984,43.7047004699707,8.92140531539917
East Asia & Pacific,1974,39.5980446112472,4.14694351528026,612.429556332357,101.995681762695,51.2461814880371,3.40693998336792
East Asia & Pacific,1975,37.6216515881693,3.72501916465725,658.046785848885,106.236763000488,51.4939613342285,3.63717007637024
East Asia & Pacific,1976,37.2233568446936,3.47343779723042,711.766961468489,110.061737060547,52.5943984985352,3.97886991500854
East Asia & Pacific,1977,35.2849259915548,3.19398768286076,835.152999364473,109.357582092285,53.2525215148926,4.15392017364502
East Asia & Pacific,1978,31.890676985294,3.08330073630403,1039.06714891282,107.273818969727,51.5462989807129,4.50382995605469
East Asia & Pacific,1979,29.0512110535604,3.08659206269403,1110.57095430131,107.228218078613,48.2526817321777,5.11915016174316
East Asia & Pacific,1980,28.2817603264921,3.05668894116471,1182.26964151823,107.377113342285,43.5805892944336,5.72624015808105
East Asia & Pacific,1981,29.8194359507949,3.0569976143769,1283.67116742775,109.134902954102,41.4184494018555,6.22975015640259
East Asia & Pacific,1982,34.55370183133,3.14437083390875,1237.21976782959,110.387283325195,38.9790115356445,6.43908023834229
East Asia & Pacific,1983,35.0342880951694,2.84976489442582,1296.52971091947,112.688926696777,37.7784309387207,6.39298009872437
East Asia & Pacific,1984,35.8244904486541,2.8405490617242,1366.68195324955,114.717308044434,37.8283996582031,6.44775009155273
East Asia & Pacific,1985,35.2929815619428,2.81193133985238,1420.40283173562,118.960639953613,39.2522087097168,6.48417997360229
East Asia & Pacific,1986,34.8225734348287,2.82721157252615,1829.30616294335,121.779823303223,40.5852088928223,6.81519985198975
East Asia & Pacific,1987,35.0071461010014,2.82512306145155,2113.30119060373,123.219932556152,43.0556716918945,7.17286014556885
East Asia & Pacific,1988,33.6914472204664,2.66496877737411,2500.12888953229,121.393966674805,44.7579383850098,7.17756986618042
East Asia & Pacific,1989,33.9666352871491,2.62344878013486,2562.99546337476,118.630149841309,45.7118988037109,7.31188011169434
East Asia & Pacific,1990,35.7546202607548,2.60174459565446,2634.92725045042,114.155250549316,46.0609512329102,7.36156988143921
East Asia & Pacific,1991,33.9859113930733,2.2229933342824,2934.41172270493,112.339111328125,47.9584693908691,7.46501016616821
East Asia & Pacific,1992,30.6942334336431,2.1032281110248,3165.22277804399,110.903579711914,50.012020111084,7.6592698097229
East Asia & Pacific,1993,29.8499542873593,2.02798705665648,3495.70282199547,109.982299804688,51.674129486084,8.44935035705566
East Asia & Pacific,1994,26.4228856676079,1.97330332382744,3861.37153618677,109.525413513184,52.4448890686035,9.64243984222412
East Asia & Pacific,1995,25.676770284753,1.92557113193911,4331.82174200194,109.751640319824,54.1859283447266,10.7268295288086
East Asia & Pacific,1996,24.9542258405243,1.88758214864728,4124.91050309737,109.339179992676,56.8622894287109,11.7741498947144
East Asia & Pacific,1997,23.0030737652568,1.85280194083017,3897.69165944478,109.216796875,58.8067016601562,13.2772598266602
East Asia & Pacific,1998,22.3874473982832,1.82440230641469,3450.88431688498,109.058197021484,60.2863883972168,13.9547595977783
East Asia & Pacific,1999,22.1495721521441,1.81046896645877,3816.37712431037,110.531028747559,61.4837684631348,14.8464002609253
East Asia & Pacific,2000,22.1098778470477,1.86633984501231,4090.21251303694,111.09245300293,62.3457908630371,15.5613098144531
